ProviderID,ProviderName,NPI_Number_Input,PracticeAddress_Input,PracticePhone_Input,PrimarySpecialty_Input,StateLicense_Input,LicenseExpirationDate_Input,Source_Input
179,Dr. Emily Smith,7002236140,"134 Wilson Rd, Phoenix, AZ 60765",(648) 564-4497,Dermatology,CA368257,2025-11-24,Synthetic-Directory
180,Dr. Andrew Rodriguez,2720694671,"271 Smith Ave, Phoenix, NY 86787",(202) 623-6703,Cardiology,CA555991,2028-03-10,Synthetic-Directory
181,Dr. David Garcia,5279466062,"423 Williams Pkwy, Los Angeles, PA 12589",555-144-1042,,CA270384,2028-03-02,Synthetic-Directory
182,Dr. Maria Johnson,8502499535,"554 Miller Rd, Chicago, CA 59139",(237) 577-1987,Family Practice,CA520612,2028-03-09,Synthetic-Directory
183,Dr. Maria Miller,1848135332,"989 Rodriguez Pkwy, New York, IL 60834",(329) 644-7743,Dermatology,CA644221,2025-02-19,Synthetic-Directory
184,Dr. Jane Davis,464876284,"969 Miller St, Chicago, PA 24397",(204) 815-5050,Cardiology,CA190176,2024-12-29,Synthetic-Directory
185,Dr. William Wilson,6380583502,"170 Wilson Rd, Chicago, TX 29929",(195) 921-8471,Dermatology,CA748120,2027-07-20,Synthetic-Directory
186,Dr. Jessica Brown,4720497313,"458 Miller Ln, Philadelphia, PA 67724",555-995-7554,Pediatrics,CA284909,2027-08-18,Synthetic-Directory
187,Dr. Jane Brown,5433224727,"519 Davis Ln, Los Angeles, IL 82018",(698) 794-6138,Orthopedics,CA385851,2027-01-31,Synthetic-Directory
188,Dr. David Garcia,5818300386,"105 Williams Pkwy, New York, CA 21594",(119) 585-7486,Orthopedics,CA731848,2026-10-13,Synthetic-Directory
189,Dr. Robert Wilson,1988380694,"472 Davis Rd, Chicago, IL 80988",(493) 892-1926,Dermatology,CA102126,2025-11-17,Synthetic-Directory
190,Dr. Jane Miller,7262284501,"629 Wilson St, New York, TX 35117",(755) 783-4244,Cardiology,CA972321,2025-03-24,Synthetic-Directory
191,Dr. Robert Wilson,9376623810,"224 Rodriguez Pkwy, New York, PA 63459",(665) 111-5653,Cardiology,CA115926,2027-05-12,Synthetic-Directory
192,Dr. Emily Johnson,6797867988,"674 Davis St, Los Angeles, TX 42236",555-260-8521,Pediatrics,CA251262,2025-09-04,Synthetic-Directory
193,Dr. Emily Wilson,4214305154,"649 Rodriguez St, New York, TX 69757",(429) 732-7645,Family Practice,CA179726,2026-09-29,Synthetic-Directory
194,Dr. Sarah Johnson,7652416069,"229 Davis Ln, Phoenix, TX 86797",(675) 883-3554,Pediatrics,CA729754,2028-02-17,Synthetic-Directory
195,Dr. Jane Davis,103178946,"610 Smith Pkwy, Philadelphia, NY 61877",(498) 215-8471,Cardiology,CA633515,2025-12-08,Synthetic-Directory
196,Dr. Jane Davis,5991935240,"739 Williams Ave, Phoenix, NY 89461",(610) 276-6023,Dermatology,CA176179,2027-07-27,Synthetic-Directory
197,Dr. Andrew Davis,5368833332,"846 Miller Rd, Phoenix, CA 26409",(610) 659-7311,Pediatrics,CA820176,2027-01-20,Synthetic-Directory
198,Dr. Andrew Wilson,6805713955,"623 Williams Rd, Philadelphia, CA 70130",(559) 233-5061,Dermatology,CA383185,2025-06-09,Synthetic-Directory
199,Dr. Jane Wilson,4679475752,"676 Rodriguez Ave, New York, CA 32232",(752) 934-2833,Orthopedics,CA904452,2027-02-02,Synthetic-Directory
200,Dr. Jessica Smith,8128424660,"452 Williams St, Philadelphia, PA 45614",555-404-2520,Cardiology,CA118992,2025-06-12,Synthetic-Directory
